ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_EXTERIOR;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;ESTU_CURSODOCENTESIES;ESTU_CURSOIESAPOYOEXTERNO;ESTU_CURSOIESEXTERNA;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_TIPODOCUMENTOSB11;ESTU_SEMESTRECURSA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_CUANTOSCOMPARTEBAÑO;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;INST_COD_INSTITUCION;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;ESTU_SNIES_PRGMACADEMICO;ESTU_PRGM_CODMUNICIPIO;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_CODMUNICIPIO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITAT_DESEM;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PNBC;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_DESEM;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PNBC;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_DESEM;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PNBC;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PNBC;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PNBC;PUNT_GLOBAL;PERCENTIL_NBC;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_IES;ESTU_ESTADOINVESTIGACION;CLUSTERS 2;CLUSTERS 3;CLUSTERS 4
CC;COLOMBIA;M;5/7/1994;NO;20195;EK201950138407;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;No realizó ninguna prueba de preparación;;;;;;;CC;11;Postgrado;Postgrado;Estrato 6;Si;Si;Si;Si;Si;Si;No;Si;NINGUNA;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Menos de 10 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;176;3;82;63;173;3;77;53;164;3;73;50;219;B2;99;96;169;3;77;65;180;74;92;86,44424331;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;F;26/4/1994;NO;20195;EK201950149105;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;CC;12 o más;Educación profesional completa;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;No;No;Si;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;153;2;59;33;151;2;53;27;149;2;57;34;208;B2;96;87;179;3;87;78;168;55;82;77,82849318;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;F;22/11/1994;NO;20195;EK201950148919;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;TI;12 o más;Técnica o tecnológica incompleta;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;2;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;186;3;89;76;181;3;84;63;191;3;93;83;196;B1;91;74;164;3;71;58;184;79;94;69,3645539;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;F;20/5/1996;NO;20195;EK201950138666;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;TI;11;Educación profesional completa;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;149;2;54;29;160;3;63;37;177;3;85;67;187;B1;85;61;174;3;83;73;169;57;83;78,29211921;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;F;1/10/1994;NO;20195;EK201950138260;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;;;;;;;CC;11;Postgrado;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;1;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;168;3;76;53;166;3;70;44;182;3;88;73;201;B2;94;80;205;4;99;96;184;80;94;89,07923665;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;M;4/8/1992;SI;20194;EK201940000777;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;;;;;;;;;;;;;;;Educación profesional completa;Técnica o tecnológica completa;Estrato 1;Si;Si;Si;Si;Si;Si;Si;Si;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;21;HOUSTON;HOUSTON;0;194;3;93;85;189;3;89;73;187;3;91;80;197;B1;91;74;143;2;50;39;182;77;93;78,22982903;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CC;COLOMBIA;F;14/3/1997;NO;20195;EK201950138615;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;TI;11;Postgrado;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;Si;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;127;2;30;12;143;2;44;21;150;2;58;34;181;B1;82;55;172;3;81;70;155;35;65;80,54366955;4;4;PUBLICAR;Oportunidad de Mejora;1;1
CC;COLOMBIA;M;13/12/1996;NO;20195;EK201950138475;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;Si;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;CC;11;Postgrado;Postgrado;;No;Si;No;Si;No;No;No;Si;1;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No sabe;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;180;3;86;69;162;3;66;39;189;3;92;82;183;B1;82;57;144;2;52;41;172;61;85;78,27945692;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CC;COLOMBIA;F;15/10/1993;NO;20195;EK201950149022;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Entre 1 millón y menos de 2.5 millones;No;No;Si;No;No realizó ninguna prueba de preparación;;;;;;;TI;12 o más;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;Si;Si;Si;No;Si;No;No;No;NINGUNA;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Entre 11 y 20 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;121;1;24;10;188;3;89;72;113;1;22;10;155;A2;59;29;183;3;89;81;152;32;61;52,39986893;2;4;PUBLICAR;Oportunidad de Mejora;1;0
CC;COLOMBIA;F;9/10/1993;NO;20195;EK201950138371;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Repasó por cuenta propia;;;;;;;TI;11;Postgrado;Postgrado;Estrato 6;Si;Si;Si;Si;Si;Si;No;No;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Pensionado;0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;172;3;79;57;175;3;79;55;199;3;96;91;223;B2;100;98;187;4;91;84;191;88;97;78,15803942;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;F;31/7/1990;NO;20195;EK201950149446;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;No;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;No;Si;Si;TI;12 o más;Secundaria (Bachillerato) incompleta;Técnica o tecnológica completa;Estrato 3;Si;Si;Si;Si;Si;Si;No;No;1;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Entre 21 y 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;184;3;88;74;194;3;93;80;167;3;76;54;166;A2;70;40;181;3;88;80;178;71;91;66,47341263;4;4;PUBLICAR;Oportunidad de Mejora;1;1
CC;COLOMBIA;F;24/3/1997;NO;20195;EK201950138513;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;No;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;TI;11;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 4;Si;Si;Si;No;Si;Si;No;No;2;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es vendedor o trabaja en atención al público;0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;180;3;85;68;187;3;89;71;163;3;72;49;192;B1;89;69;142;2;46;36;173;63;86;59,38878253;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CC;COLOMBIA;F;9/1/1995;NO;20195;EK201950149195;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;Si;;Si;;No realizó ninguna prueba de preparación;;;;;;;TI;12 o más;Postgrado;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;1;Pensionado;Trabaja en el hogar, no trabaja o estudia;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;156;3;63;37;176;3;80;57;197;3;96;89;203;B2;94;82;162;3;70;57;179;72;91;72,65054861;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;M;28/2/1996;NO;20195;EK201950138361;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Repasó por cuenta propia;;;;;;;TI;11;Técnica o tecnológica completa;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;Si;1;Trabaja en el hogar, no trabaja o estudia;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;151;2;57;32;143;2;44;21;170;3;78;57;215;B2;98;93;168;3;76;64;169;57;83;72,16461519;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;F;13/10/1997;NO;20195;EK201950148570;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;Si;Repasó por cuenta propia;;;;;;;TI;12 o más;Educación profesional completa;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;164;3;71;47;200;4;95;86;181;3;87;72;206;B2;95;85;141;2;45;35;178;71;91;87,47465552;4;4;PUBLICAR;Aceptables;0;2
CC;COLOMBIA;F;30/5/1996;NO;20195;EK201950142315;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;Si;No;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Entre 20 y 30 horas;Entre 20 y 30 horas;No;Si;No;TI;12 o más;Técnica o tecnológica completa;Postgrado;Estrato 4;Si;Si;Si;Si;Si;No;No;Si;1;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja en el hogar, no trabaja o estudia;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;97;1;6;3;168;3;73;47;164;3;73;50;192;B1;89;68;153;3;64;52;155;36;65;67,24524054;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;F;5/12/1995;NO;20195;EK201950149383;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;Si;Si;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;TI;12 o más;Postgrado;Postgrado;Estrato 3;Si;Si;Si;Si;Si;Si;No;No;1;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;144;2;48;24;179;3;82;60;192;3;94;85;211;B2;97;90;176;3;85;75;180;74;92;72,96544931;4;4;PUBLICAR;Aceptables;2;3
CC;COLOMBIA;M;3/8/1995;NO;20195;EK201950138396;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;Si;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;TI;11;Postgrado;Postgrado;Estrato 3;Si;Si;Si;Si;Si;Si;Si;Si;3 o 4;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;156;3;63;37;162;3;66;40;172;3;81;60;179;B1;80;53;192;4;94;89;172;62;86;86,06199862;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;M;30/9/1994;NO;20195;EK201950148996;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Repasó por cuenta propia;;;;;;;CC;12 o más;Postgrado;Postgrado;Estrato 4;Si;Si;Si;Si;Si;Si;No;Si;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;175;3;82;62;210;4;98;93;205;4;98;94;214;B2;98;92;111;1;9;5;183;78;93;87,8505057;4;4;PUBLICAR;Aceptables;0;2
CC;COLOMBIA;M;16/12/1994;NO;20195;EK201950148546;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Repasó por cuenta propia;;;;;;;TI;12 o más;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 3;Si;Si;Si;Si;Si;No;No;Si;NINGUNA;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Pensionado;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;198;3;95;89;156;2;59;33;156;2;65;41;191;B1;88;67;187;4;91;84;178;70;90;70,78182;4;4;PUBLICAR;Aceptables;2;1
CC;COLOMBIA;M;16/7/1996;NO;20195;EK201950138537;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;No realizó ninguna prueba de preparación;;;;;;;TI;11;Postgrado;Postgrado;Estrato 4;Si;Si;Si;Si;Si;Si;Si;Si;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Menos de 10 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;161;3;69;44;205;4;97;90;185;3;90;77;219;B2;99;95;139;2;40;30;182;76;93;85,09058258;4;4;PUBLICAR;Aceptables;0;2
CC;COLOMBIA;F;14/3/1996;NO;20195;EK201950138155;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;;;;;;;TI;11;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;1;Pensionado;Trabaja en el hogar, no trabaja o estudia;Entre 21 y 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;148;2;53;29;177;3;81;58;187;3;91;80;197;B1;91;75;143;2;51;40;170;59;84;66,17756043;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CC;COLOMBIA;F;2/8/1995;NO;20195;EK201950138465;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Repasó por cuenta propia;;;;;;;CC;11;Postgrado;Postgrado;Estrato 3;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No aplica;Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;121;1;24;10;172;3;76;51;161;3;70;47;205;B2;95;85;141;2;46;36;160;43;73;79,53608318;4;4;PUBLICAR;Aceptables;0;2
CC;COLOMBIA;M;6/12/1996;NO;20195;EK201950138277;ESTUDIANTE;COLOMBIA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;No;Si;Si;CC;11;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 3;Si;Si;Si;Si;No;Si;No;Si;1;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;0;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;183;3;88;72;193;3;92;78;201;4;97;92;224;B2;100;98;209;4;99;98;202;96;99;68,88803364;4;4;PUBLICAR;Aceptables;2;3
